Participant,DL Expertise,SE Expertise,#Projects,Model types,Company type,Team size,,
1,Expert,Intermediate,5-10,"Computer Vision,Natural Language Processing",Student,1,,
2,Intermediate,Intermediate,5-10,Natural Language Processing,Startup,1,,
3,Expert,Intermediate,5-10,Computer Vision,Startup,1,,
4,Expert,Intermediate,10-25,Natural Language Processing,Mid-size tech,1,,
5,Intermediate,Intermediate,10-25,"Computer Vision,Natural Language Processing",Big tech,25+,,
6,Intermediate,Industry Leader,10-25,"Computer Vision,Natural Language Processing",Startup,1,,
7,Intermediate,Expert,1-5,"Natural Language Processing,Reinforcement Learning",Startup,10-25,,
8,Intermediate,Intermediate,1-5,Natural Language Processing,Startup,1,,
9,Intermediate,Intermediate,1-5,Natural Language Processing,Big tech,5-10,,
10,Expert,Expert,10-25,"Computer Vision,Natural Language Processing",Mid-size tech,5-10,,
11,Expert,Expert,5-10,"Computer Vision,Natural Language Processing",Mid-size tech,10-25,,
12,Intermediate,Intermediate,5-10,"Natural Language Processing,Other",Startup,25+,,
